Player,Team,Pos,fg_pcg,three_pt_pcg,ft_pcg,offensive_rating,defensive_rating,total_rating,wins_above_replacement,nba_2k_strength,nba_2k_rating
Steven Adams,Thunder,C,59%,33%,60%,1.13,1.08,2.2,3.66,Glass-Cleaning Lockdown,85.0
Bam Adebayo,Heat,C,57%,8%,69%,-0.17,2.1,1.93,4.9,Paint Beast,83.0
LaMarcus Aldridge,Spurs,PF,49%,39%,83%,-0.72,-0.1,-0.82,1.67,3-Level Scorer,85.0
Nickeil Alexander-Walker,Pelicans,PG,34%,34%,61%,-2.61,-2.07,-4.68,-0.49,Playmaker,72.0
Grayson Allen,Grizzlies,SG,45%,36%,86%,-0.4,-1.85,-2.25,0.13,3PT Specialist,72.0
Jarrett Allen,Nets,C,64%,0%,63%,-0.06,2.37,2.31,3.96,Glass-Cleaning Lockdown,81.0
Kadeem Allen,Knicks,SG,43%,31%,64%,1.57,3.25,4.82,0.45,Deep-Range Shot Creator,72.0
Al-Farouq Aminu,Magic,PF,29%,25%,66%,-5.59,2.84,-2.75,0.0,Stretch Four,75.0
Kyle Anderson,Grizzlies,SF,49%,21%,65%,-1.99,1.85,-0.14,1.35,Mid-Range Slasher,75.0
Giannis Antetokounmpo,Bucks,PF,55%,31%,62%,5.71,3.68,9.39,10.53,2-Way Slashing Playmaker,97.0
Thanasis Antetokounmpo,Bucks,SG,55%,0%,44%,0.06,2.31,2.37,0.19,Athletic Finisher,70.0
Carmelo Anthony,Trail Blazers,PF,42%,36%,84%,-1.85,-4.03,-5.88,-2.33,Floor-Spacing Slasher,79.0
OG Anunoby,Raptors,SF,50%,37%,70%,-1.04,1.48,0.43,2.84,3 & D Wing,79.0
Ryan Arcidiacono,Bulls,PG,41%,38%,71%,-1.23,1.98,0.75,1.59,Sharpshooter,70.0
Trevor Ariza,Trail Blazers,SF,39%,35%,78%,-1.91,1.38,-0.54,1.49,3PT Specialist,75.0
D.J. Augustin,Magic,PG,38%,33%,88%,-0.02,-0.8,-0.82,1.06,Mid-Range Shot Creator,78.0
Deandre Ayton,Suns,C,55%,0%,77%,-1.27,2.73,1.46,2.05,Mid-Range Finisher,84.0
Dwayne Bacon,Hornets,SF,35%,28%,66%,-5.11,-0.56,-5.67,-1.02,Slasher,70.0
Lonzo Ball,Pelicans,PG,41%,37%,58%,-0.74,0.19,-0.55,1.89,2-Way Playmaker,79.0
J.J. Barea,Mavericks,PG,43%,41%,94%,2.69,0.33,3.02,1.01,Slashing Playmaker,78.0
Harrison Barnes,Kings,SF,46%,37%,81%,-0.09,-0.47,-0.55,2.35,Floor-Spacing Slasher,79.0
RJ Barrett,Knicks,SF,40%,32%,59%,-2.2,-2.27,-4.48,-1.35,Offense Initiator,76.0
