player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Steven Adams,adamsst01,2020,3055,1455,1.06930691,1.017527037,2.086833947,1.072663098,0.971244984,2.043908082,1.125738253,1.078578439,2.204316692,3.659295675,3.659295675,0,0.54197385,1.404644888,1.946618738,-0.5131316
Bam Adebayo,adebaba01,2020,4236,2063,-0.877707369,2.281324923,1.403617554,2.988184593,0.824549853,3.812734446,-0.165733789,2.099525067,1.933791278,4.89826567,4.89826567,0,-0.265389559,1.207400982,0.942011423,-0.65448998
LaMarcus Aldridge,aldrila01,2020,3570,1717,-0.579001848,0.477111331,-0.101890517,-0.92583237,-2.628987855,-3.554820226,-0.719501362,-0.101252023,-0.820753386,1.666244039,1.666244039,0,-0.687944892,0.457627391,-0.230317501,-1.436921784
Nickeil Alexander-Walker,alexani01,2020,1098,501,-3.206619096,-1.605277765,-4.811896861,0.634447772,-3.492006608,-2.857558836,-2.609378652,-2.066637409,-4.676016061,-0.494786064,-0.494786064,0,-1.14385317,-2.200514983,-3.344368153,0.513285158
Grayson Allen,allengr01,2020,1100,498,-0.279105781,-1.470200992,-1.749306773,-0.892021134,-2.904853272,-3.796874405,-0.402876233,-1.847583841,-2.250460074,0.12752209,0.12752209,0,-0.703484008,-2.503756936,-3.207240944,0.481661782
Jarrett Allen,allenja01,2020,3265,1541,-0.960872757,2.992606044,2.031733287,3.568243648,-0.75057975,2.817663898,-0.060743019,2.370535068,2.309792049,3.955631914,3.955631914,0,-0.565664714,2.064628361,1.498963647,-0.57626575
Kadeem Allen,allenka01,2020,252,117,1.068174765,5.263826879,6.332001644,2.672793661,-6.253648124,-3.580854463,1.565025635,3.254950707,4.819976342,0.446612733,0.446612733,0,2.438645924,1.635967322,4.074613246,-1.188747478
Al-Farouq Aminu,aminual01,2020,793,380,-4.27371046,2.121763155,-2.151947305,-9.402422251,5.003029264,-4.399392987,-5.586835598,2.837307499,-2.749528099,9.10968E-05,9.10968E-05,0,-5.139583917,2.563919648,-2.575664269,-0.438804683
Justin Anderson,anderju01,2020,38,17,-7.879271136,4.146948265,-3.732322871,-19.76513534,12.0795763,-7.685559038,-10.83949002,6.040882263,-4.798607757,-0.01768666,-0.01768666,0,-10.12082437,1.942274008,-8.178550366,-0.46932841
Kyle Anderson,anderky01,2020,2221,1017,-0.892272564,1.582500965,0.690228401,-5.99837731,2.337270193,-3.661107117,-1.988737487,1.850528855,-0.138208632,1.354701875,1.354701875,0,-2.538176491,1.20716261,-1.331013881,-0.036679289
Ryan Anderson,anderry01,2020,33,14,-10.96458444,-1.782511118,-12.74709556,7.225023308,6.981829529,14.20685284,-7.809621009,0.014484923,-7.795136086,-0.037311336,-0.037311336,0,-6.171896741,-1.355355463,-7.527252203,3.609679214
Giannis Antetokounmpo,antetgi01,2020,3730,1668,6.132097547,2.846660626,8.978758173,2.852618402,6.462633337,9.315251739,5.712918729,3.681630561,9.39454929,10.52935473,10.52935473,0,5.378207539,3.010796591,8.38900413,1.916917134
Kostas Antetokounmpo,antetko01,2020,12,5,-0.727276654,-17.86472697,-18.59200362,9.229529602,-20.34129588,-11.11176628,1.283559885,-19.64079924,-18.35723935,-0.039320001,-0.039320001,0,-1.359650687,-13.9518819,-15.31153259,-1.266104493
Thanasis Antetokounmpo,antetth01,2020,162,70,0.552342883,1.886061992,2.438404875,-1.349730628,4.197323417,2.847592788,0.061075519,2.307157,2.368232519,0.185432063,0.185432063,0,0.091589755,1.789688758,1.881278513,1.473279571
Carmelo Anthony,anthoca01,2020,3078,1476,-2.674362159,-4.040655544,-6.715017703,2.209154775,-2.987329857,-0.778175082,-1.8450644,-4.030776883,-5.875841283,-2.327443756,-2.327443756,0,-1.176270068,-3.649351177,-4.825621245,-1.148059846
OG Anunoby,anunoog01,2020,3701,1750,-1.47132823,2.12808649,0.65675826,1.09143091,-1.373757969,-0.282327059,-1.044990137,1.477370468,0.432380332,2.841684929,2.841684929,0,-0.856052949,2.01806882,1.162015871,0.010652065
Ryan Arcidiacono,arcidry01,2020,1901,887,-0.830710477,1.790257394,0.959546917,-2.736559836,2.112172324,-0.624387511,-1.230600847,1.980896967,0.750296119,1.58727518,1.58727518,0,-2.069055627,1.166175295,-0.902880332,0.207739217
Trevor Ariza,arizatr01,2020,2778,1321,-1.773738668,1.203100404,-0.570638264,-1.965551428,1.55612056,-0.409430868,-1.911450783,1.375487925,-0.535962858,1.48599881,1.48599881,0,-1.897233194,1.435515204,-0.46171799,0.013206867
D.J. Augustin,augusdj01,2020,2260,1098,0.465485537,-2.3113245,-1.845838962,-2.185000124,5.810308963,3.625308839,-0.022896249,-0.800693495,-0.823589744,1.061471386,1.061471386,0,-0.598306888,-1.015554157,-1.613861046,-1.673682392
Deandre Ayton,aytonde01,2020,2037,957,-1.575411338,3.079886208,1.50447487,0.274256702,0.409446719,0.683703421,-1.271324731,2.72930011,1.457975379,2.052039599,2.052039599,0,-1.157517513,2.809338599,1.651821086,-0.12674641
Dwayne Bacon,bacondw01,2020,1419,687,-5.421954024,-1.162212811,-6.584166835,-2.663622057,1.884535919,-0.779086138,-5.109853802,-0.562535951,-5.672389753,-1.019544062,-1.019544062,0,-4.696575055,-1.639688929,-6.336263984,-0.475635953
Marvin Bagley III,baglema01,2020,706,334,-3.640803999,0.427595615,-3.213208384,-4.249670391,-4.101507806,-8.351178198,-3.970592989,-0.481233145,-4.451826134,-0.290436132,-0.290436132,0,-3.443866651,-0.011572307,-3.455438958,0.152473365
